Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
Abaro & Ana Neves,"16831 Jackson Avenue, Lemoore, CA 93245",Neves Dairy,"16831 Jackson Avenue, Lemoore, CA 93245",36.254476,-119.759683,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00124,null,null,06/29/2007,null,10/02/2018,null,null,A,1,410,Mature dairy cattle,null,0,2,NA
"Abdallah, Michael J & Lisa M.","6019 South Whitworth Road, Gustine, CA 95322",Abdallah Chicken Ranch,"30055 West Snyder Road, Gustine, CA 95322",37.2022,-121.0318,Animal Feeding Facility,0251,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B24NC00350,null,null,07/20/2018,null,12/05/2021,null,null,null,null,122640,Non-layers (other than liquid manure system),613,0,0,NA
Abundant Harvest Organics,null,Sweeney Ranch,"38599 Road 16, Kingsburg, CA 93631",36.49161,-119.541,Animal Feeding Facility,null,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5C54NC00337,null,null,06/19/2018,null,12/05/2021,null,null,C,3,80000,Non-layers (other than liquid manure system),400,1,1,NA
Abundant Harvest Organics,null,Laton Ranch,"20710 South Cedar Avenue, Laton, CA 93242",36.43483,-119.76175,Animal Feeding Facility,null,Fresno,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5C10NC00255,null,null,06/19/2018,null,12/05/2021,null,null,C,3,110000,Non-layers (other than liquid manure system),550,1,1,NA
"Ackerman, Paul","Po Box 2909, Ceres, CA 95307-9030","Ackerman Dairy, Inc.","6942 South Central Avenue, Ceres, CA 95307",37.5376,-120.95688,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00027,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1610,Mature dairy cattle,null,1,1,NA
Adam Westenbroek,"6921 Bear Mountain Boulevard, Bakersfield, CA 93313",Westwind Dairy,"6921 Bear Mountain Boulevard, Bakersfield, CA 93313",35.208109,-119.081286,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155083001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,1285,Mature dairy cattle,null,0,0,NA
"Adams, Rick","Po Box 714, Laton, CA 93242",Adams Dairy,"16661 South Fowler Avenue, Selma, CA 93662",36.492168,-119.684728,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00137,null,null,06/29/2007,null,10/02/2018,null,null,A,1,80,Mature dairy cattle,null,1,1,NA
Affentranger & Sons Dairy Farms Inc,"18107 Kratzmeyer Road, Bakersfield, CA 93314",Affentranger & Sons Dairy,"18107 Kratzmeyer Avenue, Bakersfield, CA 93314",35.418107,-119.202022,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C15NC00083,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1550,Mature dairy cattle,null,1,1,NA
Ag Foundation of CSU Fresno,"2385 East Barstow Avenue Ag85, Fresno, CA 93740",CSUF Ag Foundation Poultry Facility,"E Portals and N Woodrow, Fresno, CA 93710",36.819265,-119.739112,Animal Feeding Facility,null,Fresno,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5C10NC00206,null,null,06/19/2018,null,12/05/2021,null,null,C,3,21760,Non-layers (other than liquid manure system),109,0,0,NA
Aggio Dairy Inc.,"5915 Hall Road, Santa Rosa, CA 95401-5553",Aggio Dairy Inc.,"5915 Hall Road, Santa Rosa, CA 95401",38.43927,-122.82594,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11097DSON,null,null,01/13/2020,null,08/14/2029,null,null,null,null,280,Mature dairy cattle,null,0,0,NA
"Agresti, Harold","1441 East Monte Vista Avenue, Ceres, CA 95307",Double D Dairy #2,"3636 East Monte Vista Road, Ceres, CA 95307",37.51804,-120.92865,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00021,null,null,06/29/2007,null,10/02/2018,null,null,A,1,575,Mature dairy cattle,null,0,0,NA
"Agresti, Harold","1441 East Monte Vista Avenue, Ceres, CA 95307",Agresti Heifer Ranch,"7725 South Central Avenue, Ceres, CA 95307",37.52471566,-120.9585715,Animal Feeding Facility,0211,Stanislaus,5S,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,R5-2017-0058,5B50NC00408,null,null,04/03/2019,null,null,null,null,null,null,2400,Heifers (non dairy affiliated),2005.2,1,1,NA
"Agresti, Richard","936 West Monte Vista Avenue, Ceres, CA 95307",Monte Vista Feedlot,"936 West Monte Vista, Ceres, CA 95307",37.52032,-121.00822,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00391,null,null,04/03/2019,null,null,null,null,null,null,200,Heifers (non dairy affiliated),1790,0,0,NA
"Agueda, Danny","2395 Sierra Springs Court, Atwater, CA 95301",Blue Sky Dairy,"4390 North Fox Road, Merced, CA 95301",37.35256,-120.5473,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00214,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1875,Mature dairy cattle,null,0,0,NA
"Agueda, Danny","2395 Sierra Springs Court, Atwater, CA 95301",Blue Sky Dairy #2,"3874 North Franklin Road, Merced, CA 95348",37.34412,-120.53714,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00217,null,null,06/29/2007,null,10/02/2018,null,null,A,1,300,Mature dairy cattle,null,0,0,NA
Aguiar Family Revocable Trust,"14229 Avenue 180, Tulare, CA 93274",Aguiar Dairy Feedlot,"16960 Avenue 152, Porterville, CA 93257",36.06679,-119.17387,Animal Feeding Facility,0241,Tulare,5F,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,R5-2017-0058,5C54NC00373,null,null,02/15/2019,null,02/15/2024,null,null,null,null,1600,Heifers (non dairy affiliated),940,1,1,NA
"Aguiar Silveira, Rosa","4628 County Road P, Orland, CA 95963",Silveira Jerstein Dairy,"4628 County Rd P, Orland, CA 95963",39.765062,-122.14074,Animal Feeding Facility,0241,Glenn,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A11NC00040,null,null,06/29/2007,null,10/02/2018,null,null,A,1,90,Mature dairy cattle,null,0,0,NA
Ahlem Farms Partnership,"24093 American Avenue, Hilmar, CA 95324",Ahlem Farms Partnership,"24093 West American Avenue, Hilmar, CA 95324",37.41194,-120.92694,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00104,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3450,Mature dairy cattle,null,0,0,NA
Ahlem's Foothills Farms,"15453 East Monte Vista Avenue, Denair, CA 95316",Ahlem's Foothills Farms,"15453 East Monte Vista Road, Denair, CA 95316",37.53673732,-120.7734776,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00072,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2400,Mature dairy cattle,null,0,0,NA
"Ahlem, Grant","P. O. Box 1210, Hilmar, CA 95324",Gold Medal Ag LLC Crows Landing,"806 Harding Road, Crows Landing, CA 95313",37.45717,-121.017,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00420,null,null,04/03/2019,null,null,null,null,null,null,300,Mature dairy cattle,548.75,0,0,NA
"Ahlem, James & Carol","9483 North Columbus Avenue, Hilmar, CA 95324-9322",Jade Jersey Dairy,"20326 Johnson Avenue, Hilmar, CA 95324",37.4333,-120.85581,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00141,null,null,06/29/2007,null,10/02/2018,null,null,A,1,450,Mature dairy cattle,null,0,0,NA
"Ahlem, James & Carol","9483 North Columbus Avenue, Hilmar, CA 95324-9322",Gold Medal Ag #1 Dairy,"9483 Columbus Avenue, Hilmar, CA 95324",37.42589,-120.86807,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00125,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2400,Mature dairy cattle,null,0,0,NA
"Ahlem, Mark","23546 West American Avenue, Hilmar, CA 95324","Golf Link Ranches, LLC","10220 Golf Link Road, Turlock, CA 95380",37.4362,-120.83128,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00283,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,0,NA
"Ahlem, Mark","23546 West American Avenue, Hilmar, CA 95324",Charles Ahlem Ranch,"23546 West American Avenue, Hilmar, CA 95324",37.41376,-120.91356,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00103,null,null,06/29/2007,null,null,null,null,A,1,3680,Mature dairy cattle,null,0,0,NA
"Ahlem, Mark","23546 West American Avenue, Hilmar, CA 95324",CMC Jerseys LLC,"23204 Bloss Avenue, Hilmar, CA 95324",37.40463,-120.90847,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00117,null,null,06/29/2007,null,10/02/2018,null,null,A,1,494,Mature dairy cattle,null,0,0,NA
"Ahlem, Mark","23546 West American Avenue, Hilmar, CA 95324",CMA Livestock #2,"23970 West August Avenue, Hilmar, CA 95324",37.41924,-120.92159,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00114,null,null,06/29/2007,null,10/02/2018,null,null,A,1,186,Mature dairy cattle,null,0,0,NA
"Ahlem, Mark","23546 West American Avenue, Hilmar, CA 95324",Double Cross #6,"21189 American Avenue, Hilmar, CA 95324",37.41167,-120.87187,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00108,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1329,Mature dairy cattle,null,0,0,NA
"Airoso, Joe","Po Box 1087, Tipton, CA 93272",Circle A Dairy,"11275 Road 96, Pixley, CA 93256",35.99445,-119.3577,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2010-0130,5C54NC00271,null,null,09/29/2017,null,09/29/2022,null,null,null,null,2953,Mature dairy cattle,null,0,0,NA
"Airoso, Joe","Po Box 1087, Tipton, CA 93272",Airoso Dairy,"18809 Road 64, Tulare, CA 93274",36.1307,-119.43047,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00208,null,null,06/29/2007,null,10/02/2018,null,null,A,1,310,Heifers (non dairy affiliated),null,0,0,NA
Ajmail Singh Sangha and Parajmeet Kour Sangha,"17512 Stockdale Highway, Bakersfield, CA 93314",Former F and J Delano Dairy,"14180 Avenue 16, Delano, CA 93215",35.81716,-119.25521,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545161N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,8,NA
Alamo Farms,"1854 West Monte Vista Avenue, Modesto, CA 95358",Alamo Farms,"5000 West Keyes Road, Modesto, CA 95358",37.55116,-121.08511,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00127,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2750,Mature dairy cattle,null,0,0,NA
"Alamo, Joe","P. O. Box 99, Keyes, CA 95328",Alamo Dairy,"1500 Fulkerth Road, Crows Landing, CA 95313",37.50767827,-121.0130365,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00053,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2025,Mature dairy cattle,null,0,0,NA
"Alamo, Joe","P. O. Box 99, Keyes, CA 95328",Joe Alamo,"1866 West Fulkerth Road, Crows Landing, CA 95313",37.5077641,-121.0212279,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00051,null,null,06/29/2007,null,10/02/2018,null,null,A,1,750,Mature dairy cattle,null,0,0,NA
"Alamo, Raymond & Zilda","3501 Vivian Road, Modesto, CA 95358",Raymond Alamo Dairy,"3501 Vivian Road, Modesto, CA 95358",37.58586466,-121.0485596,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00163,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,1,0,NA
Alberta Fletcher Trust,"12685 Avenue 200, Tulare, CA 93274",Rancho Terisita Dairy #3,"12671 Ave 200, Tulare, CA 93274",36.15058,-119.28833,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00132,null,null,06/29/2007,null,10/02/2018,null,null,A,1,700,Mature dairy cattle,null,2,3,NA
"Alberto, Antonio & Maria","11737 Blue Gum Road, Hickman, CA 95323",Alberto Dairy,"11737 Blue Gum Road, Hickman, CA 95323",37.61668325,-120.7735527,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00077,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1150,Mature dairy cattle,null,0,0,NA
Albin Dairy,"Po Box 601, Fortuna, CA 95540",Albin Dairy,"1009 Bertelsen Lane, Ferndale, CA 95536",40.59861,-124.25952,Animal Feeding Facility,0211,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B16366DHUM,null,null,03/02/2021,null,11/30/2029,null,null,null,null,285,Mature dairy cattle,null,1,2,NA
Alden Peterson & Sons Dairy Inc,"1431 North Central Avenue, Turlock, CA 95380","Alden Peterson & Sons Dairy, Inc.","1431 North Central Avenue, Turlock, CA 95380",37.50615478,-120.9585769,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00227,null,null,06/29/2007,null,10/02/2018,null,null,A,1,717,Mature dairy cattle,null,0,0,NA
Alexandre Acres,"8371 Lower Lake Road, Crescent City, CA 95531",Alexandre Acres,"210 Sage Road, Ferndale, CA 95536",40.60051,-124.232165,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11098DHUM,null,null,04/13/2020,null,11/30/2029,null,null,null,null,940,Mature dairy cattle,null,0,0,NA
Alexandre Acres,"8371 Lower Lake Road, Crescent City, CA 95531",Sea Mist Organics,"761 Showers Road, Eureka, CA 95503",40.730893,-124.179765,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11128DHUM,null,null,04/13/2020,null,11/30/2029,null,null,null,null,352,Mature dairy cattle,null,0,0,NA
Alexandre Dairy,"8371 Lower Lake Road, Crescent City, CA 95531",Alexandre Dairy,"8371 Lower Lake, Crescent City, CA 95531",41.895845,-124.17594,Animal Feeding Facility,0241,Del Norte,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1A80196DDN,null,null,04/13/2020,null,11/30/2029,null,null,null,null,2426,Mature dairy cattle,null,1,1,NA
Alexandre Dairy,"8371 Lower Lake Road, Crescent City, CA 95531",Reservation Ranch,"370 Sarina Road, Smith River, CA 95567",41.922022,-124.164659,Animal Feeding Facility,11212,Del Norte,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1A11125DDN,null,null,03/02/2020,null,11/30/2029,null,null,null,null,650,Mature dairy cattle,null,3,1,NA
Alexandre Eco Dairy,"8371 Lower Lake Road, Creacent City, CA 95531",Alexandre Ecodairy,"2250 Fred Haight Drive, Smith River, CA 95567",41.89838,-124.147342,Animal Feeding Facility,11212,Del Norte,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1A11105DDN,null,null,04/13/2020,null,11/30/2029,null,null,null,null,801,Mature dairy cattle,null,0,0,NA
"Alger, Ray","4064 East Dodds Road, Oakdale, CA 95361",A & A Cattle R2,"11300 South Henry Road, Farmington, CA 95230",37.86424,-120.9432,Animal Feeding Facility,0211,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B39NC00262,null,null,04/03/2019,null,null,null,null,null,null,0,Calf feedlots,3237.5,0,0,NA
"Alger, Ray","4064 East Dodds Road, Oakdale, CA 95361",A & A Cattle/Raymar Farms,"4064 Dodds Road, Oakdale, CA 95361",37.84863,-120.91762,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00401,null,null,04/03/2019,null,null,null,null,null,null,24100,Calf feedlots,6920,0,0,NA
Alice B Silveira Trustee,"11305 2nd Avenue, Hanford, CA 93230",Barreto & Silveira Dairy,"11305 2nd Avenue, Hanford, CA 93230",36.30782,-119.49049,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165093N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,875,Mature dairy cattle,null,0,1,NA
Alice W. de Groot Grant,"4729 West Lark Court, Visalia, CA 93291",Jacobus Degroot Dairy #1,"31847 Road 92, Visalia, CA 93291",36.36817,-119.36994,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00076,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1362,Mature dairy cattle,null,0,0,NA
Alston Farms,"1010 Highway 99w, Orland, CA 95963",Alston Farms Dairy 2,"22954 Christian Road, Orland, CA",39.819,-122.179206,Animal Feeding Facility,null,Tehama,5S,ANIWSTCOWS,Active,WDR,R5-2010-0012,5A11NC00056,null,01/29/2010,01/29/2010,null,null,null,null,C,3,0,Mature dairy cattle,null,0,0,NA
"Alvernaz, Manuel","501 El Katrina Lane, Ceres, CA 95307-9536",Double D Jerseys,"937 El Katrina Lane, Ceres, CA 95307",37.51114,-120.9858,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00030,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1195,Mature dairy cattle,null,2,5,NA
Alves & Son Dairy #2,"13745  Newport Road, Turlock, CA 95380",Alves & Son Dairy #2,"13831 East Avenue, Turlock, CA 95380",37.49183,-120.73667,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00281,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1205,Mature dairy cattle,null,1,3,NA
"Alves, Greg A, Gary, Richard, & Michael","2611 County Road T, Glenn, CA 95943",Alves Dairy,"2439 County Rd V, Glenn, CA 95943",39.574427605,-122.0652241353,Animal Feeding Facility,0241,Glenn,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A11NC00010,null,null,06/29/2007,null,10/02/2018,null,null,A,1,810,Mature dairy cattle,null,0,0,NA
"Alves, Joe","8407 Mitchell Road, Ceres, CA 95307",Alves & Son Dairy,"13745 Newport Road, Turlock, CA 95380",37.48732,-120.70312,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00285,null,null,06/29/2007,null,10/02/2018,null,null,A,1,875,Mature dairy cattle,null,0,0,NA
Alvin & Betty Correia Rev. Trust,"6401 Avenue 296, Visalia, CA 93277",Crystal View Dairy (former F & J #3),"29401 Road 68, Visalia, CA 93277",36.3225,-119.4234,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00026,null,null,06/29/2007,null,10/02/2018,null,null,A,1,320,Mature dairy cattle,null,0,0,NA
"Amaral, Armelim","Po Box 263, Farmington, CA 95230",Machado Dairy Farms #4,"26298 Groves Road, Farmington, CA 95230",37.941,-120.99087,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00099,null,null,06/29/2007,null,10/02/2018,null,null,A,1,726,Heifers (non dairy affiliated),null,0,0,NA
"Amaral, Joe & Maria","4715 County Road N, Orland, CA 95963",Amaral Dairy,"4715 County Rd N Road, Orland, CA 95963",39.73069,-122.10431,Animal Feeding Facility,0241,Glenn,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A11NC00039,null,null,06/29/2007,null,10/02/2018,null,null,A,1,201,Mature dairy cattle,null,0,0,NA
