facility_name,facility_address,latitude,longitude,county,cafo_population,cafo_subtype,type,milking,other,total,enteric_methane,manure_methane,total_methane,project_id_number,sub_program_name,project_life_years,date_operational,annual_project_ghg_reductions,adjusted_manure_methane,adjusted_total_methane,labeltext,mitigation
Charles Ahlem Ranch,"23546 West American Avenue, Hilmar, CA 95324",37.41376,-120.91356,Merced,3680,Mature dairy cattle,Dairy,3680,4024,7704,765.376,247.248,1013,19-0837-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,544.072,0,765,<b>Name: </b>Charles Ahlem Ranch</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>765 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Circle A Dairy,"11275 Road 96, Pixley, CA 93256",35.99445,-119.3577,Tulare,2953,Mature dairy cattle,Dairy,2953,3229,6182,614.1700000000001,207.262,821,17-0504-000-DD,Dairy Digester Research and Development Program,10,2018-08-31,554.98,0,614,<b>Name: </b>Circle A Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>614 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Alamo Farms,"5000 West Keyes Road, Modesto, CA 95358",37.55116,-121.08511,Stanislaus,2750,Mature dairy cattle,Dairy,2750,3007,5757,571.948,184.764,757,17-0663-000-AM,Alternative Manure Management Program,5,2018-10-24,176.04,8.724000000000018,581,<b>Name: </b>Alamo Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>581 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Alamo Dairy,"1500 Fulkerth Road, Crows Landing, CA 95313",37.50767827,-121.0130365,Stanislaus,2025,Mature dairy cattle,Dairy,2025,2215,4240,421.21,136.055,557,17-0669-000-AM,Alternative Manure Management Program,5,2019-11-30,124.656,11.399000000000001,433,<b>Name: </b>Alamo Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>433 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Alexandre Dairy,"8371 Lower Lake, Crescent City, CA 95531",41.895845,-124.17594,Del Norte,2426,Mature dairy cattle,Dairy,2426,2653,5079,504.58000000000004,123.953,629,17-0654-000-AM,Alternative Manure Management Program,5,2019-07-30,76.57600000000001,47.376999999999995,552,<b>Name: </b>Alexandre Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>552 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Alves Dairy,"2439 County Rd V, Glenn, CA 95943",39.574427605,-122.0652241353,Glenn,810,Mature dairy cattle,Dairy,810,886,1696,168.484,54.422,223,19-0921-000-SO,Alternative Manure Management Program,5,2021-05-31,36.208,18.214,187,<b>Name: </b>Alves Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>187 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Poplar Lane Dairy,"5387 Kent Avenue, Hanford, CA 93230",36.224962,-119.554076,Kings,2593,Mature dairy cattle,Dairy,2593,2836,5429,539.338,174.21699999999998,714,19-0821-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,524.78,0,539,<b>Name: </b>Poplar Lane Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>539 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Antone L Gomes and Sons Dairy,"519 East Stuhr Road, Newman, CA 95360",37.33302355,-121.0188837,Stanislaus,655,Mature dairy cattle,Dairy,655,716,1371,136.214,44.007000000000005,180,19-0906-000-SO,Alternative Manure Management Program,5,2020-11-30,30.88,13.127000000000006,149,<b>Name: </b>Antone L Gomes and Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>149 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Scheenstra Dairy,"16800 Road 96 Road, Tipton, CA 93272",36.09414,-119.34672,Tulare,4300,Mature dairy cattle,Dairy,4300,4703,9003,894.392,288.906,1183,18-0595-000-DD,Dairy Digester Research and Development Program,10,2020-12-31,881.44,0,894,<b>Name: </b>Scheenstra Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>894 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Art Silva Dairy,"5201 Milnes Road, Modesto, CA 95357",37.68241882,-120.9002227,Stanislaus,1090,Mature dairy cattle,Dairy,1090,1192,2282,226.70799999999997,73.234,300,18-0470-000-AM,Alternative Manure Management Program,5,2019-10-31,22.375999999999998,50.858,278,<b>Name: </b>Art Silva Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>278 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Art Silva Dairy #2,"3701 Langworth Road, Modesto, CA 95357",37.6922,-120.89621,Stanislaus,850,Mature dairy cattle,Dairy,850,930,1780,176.82,57.11,234,19-0915-000-SO,Alternative Manure Management Program,5,2021-01-15,125.85600000000001,0,177,<b>Name: </b>Art Silva Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>177 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Avalon Dairy Farms,"27125 Pond Road, Wasco, CA 93280",35.711482,-119.420572,Kern,3450,Mature dairy cattle,Dairy,3450,3773,7223,717.572,242.146,960,19-0830-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,639.0319999999999,0,718,<b>Name: </b>Avalon Dairy Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>718 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Antonio Azevedo Dairy #4,"1257 West Roosevelt Road, El Nido, CA 95317",37.14228,-120.51367,Merced,431,Mature dairy cattle,Dairy,431,471,902,89.622,28.957,119,19-0909-000-SO,Alternative Manure Management Program,5,2020-10-31,26.191999999999997,2.765000000000004,92,<b>Name: </b>Antonio Azevedo Dairy #4</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>92 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
A & C Machado Dairy,"825 Ruble Road, Crows Landing, CA 95313",37.48587191,-121.0047806,Stanislaus,1305,Mature dairy cattle,Dairy,1305,1427,2732,271.418,87.679,359,20-1027-000-SO,Dairy Digester Research and Development Program,10,2023-01-31,455.916,0,271,<b>Name: </b>A & C Machado Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>271 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
B. V. Dairy,"18904 Bear Mountain Boulevard, Bakersfield, CA 93311",35.212295,-119.212421,Kern,4030,Mature dairy cattle,Dairy,4030,4407,8437,838.188,307.03400000000005,1145,18-0375-000-DD,Dairy Digester Research and Development Program,10,2020-09-30,823.34,0,838,<b>Name: </b>B. V. Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>838 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Back Road Dairy,"22000 Road 28, Tulare, CA 93274",36.18954,-119.511184,Tulare,810,Mature dairy cattle,Dairy,810,886,1696,168.484,54.422,223,20-1059-000-SO,Alternative Manure Management Program,5,2021-12-31,109.11200000000001,0,168,<b>Name: </b>Back Road Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>168 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Bar 20 Dairy No. 2 & 3,"25500 West Whitesbridge Avenue, Kerman, CA 93630",36.735063,-120.245279,Fresno,10457,Mature dairy cattle,Dairy,10457,11436,21893,2174.9700000000003,702.577,2878,19-0835-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,1497.56,0,2175,"<b>Name: </b>Bar 20 Dairy No. 2 & 3</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>2,175 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
Jacobus de Groot Dairy #2,"10438 Avenue 320, Visalia, CA 93291",36.37932,-119.34289,Tulare,1460,Mature dairy cattle,Dairy,1460,1597,3057,303.688,98.09400000000001,402,18-0360-000-DD,Dairy Digester Research and Development Program,10,2020-09-30,246.46400000000003,0,304,<b>Name: </b>Jacobus de Groot Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>304 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Caton Farms Dairy,"15635 South Steinegul Road, Escalon, CA 95320",37.81829,-120.96957,San Joaquin,575,Mature dairy cattle,Dairy,575,629,1204,119.606,38.633,158,19-0919-000-SO,Alternative Manure Management Program,5,2020-06-30,61.983999999999995,0,120,<b>Name: </b>Caton Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>120 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Beretta Dairy,"3233 Llano Road, Santa Rosa, CA 95407",38.390833,-122.772989,Sonoma,340,Mature dairy cattle,Dairy,340,372,712,70.72800000000001,18.392,89,19-0907-000-SO,Alternative Manure Management Program,5,2020-12-31,11.744000000000002,6.647999999999998,77,<b>Name: </b>Beretta Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>77 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Dairyland Farms Dairy,"15982 Road 152, Tipton, CA 93272",36.078409,-119.22844,Tulare,3061,Mature dairy cattle,Dairy,3061,3348,6409,636.69,214.844,852,19-0840-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,709.9,0,637,<b>Name: </b>Dairyland Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>637 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Tripalm Dairy,"2429 Idaho Avenue, Hanford, CA 93230",36.268826,-119.50092,Tulare,949,Mature dairy cattle,Dairy,949,1038,1987,197.394,63.761,261,19-0943-000-SO,Alternative Manure Management Program,5,2020-12-31,36.36,27.401000000000003,225,<b>Name: </b>Tripalm Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>225 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Bellanave Dairy,"14461 Taft Highway, Bakersfield, CA 93311",35.247899,-119.157243,Kern,6865,Mature dairy cattle,Dairy,6865,7508,14373,1427.882,523.026,1951,18-0366-000-DD,Dairy Digester Research and Development Program,10,2020-09-30,902.6360000000001,0,1428,"<b>Name: </b>Bellanave Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,428 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
JB Dairy,"10860 South Ingomar Grade Road, Gustine, CA 95322",37.13011,-120.94892,Merced,600,Mature dairy cattle,Dairy,600,656,1256,124.78399999999999,40.312,165,18-0484-000-AM,Alternative Manure Management Program,5,2019-08-31,46.29600000000001,0,125,<b>Name: </b>JB Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>125 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Bos Farms LP,"20397 Road 152, Tulare, CA 93274",36.15856,-119.23591,Tulare,3861,Mature dairy cattle,Dairy,3861,4222,8083,803.0260000000001,270.992,1074,17-0505-000-DD,Dairy Digester Research and Development Program,10,2020-03-31,673.592,0,803,<b>Name: </b>Bos Farms LP</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>803 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Maple Dairy,"15857 Bear Mountain Boulevard, Bakersfield, CA 93311",35.206374,-119.178508,Kern,7320,Mature dairy cattle,Dairy,7320,8005,15325,1522.48,557.6899999999999,2080,17-0497-000-DD,Dairy Digester Research and Development Program,10,2020-03-31,1370.348,0,1522,"<b>Name: </b>Maple Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,522 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
Boschma & Sons Dairy,"24794 Sherwood Avenue, Wasco, CA 93280",35.675901,-119.528597,Kern,2815,Mature dairy cattle,Dairy,2815,3079,5894,585.5260000000001,197.57799999999997,783,20-1030-000-SO,Dairy Digester Research and Development Program,10,2023-01-31,759.788,0,586,<b>Name: </b>Boschma & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>586 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Poso Creek Family Dairy,"13437 Gun Club Road, Wasco, CA 93280",35.663324,-119.510037,Kern,6033,Mature dairy cattle,Dairy,6033,6598,12631,1254.826,423.44000000000005,1678,20-1031-000-SO,Dairy Digester Research and Development Program,10,2023-01-31,687.416,0,1255,"<b>Name: </b>Poso Creek Family Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,255 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
Antonio Brasil Dairy,"15373 South Flanagan Road, Dos Palos, CA 93620",37.06268,-120.52861,Merced,2531,Mature dairy cattle,Dairy,2531,2768,5299,526.4300000000001,170.051,696,18-0482-000-AM,Alternative Manure Management Program,5,2019-04-02,31.336,138.71499999999997,665,<b>Name: </b>Antonio Brasil Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>665 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Brasil's Udder Dairy,"28723 Road 56, Visalia, CA 93277",36.31107,-119.44991,Tulare,1200,Mature dairy cattle,Dairy,1200,1312,2512,249.56799999999998,80.624,330,18-0388-000-DD,Dairy Digester Research and Development Program,10,2020-09-30,542.8240000000001,0,250,<b>Name: </b>Brasil's Udder Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>250 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Brian James Jongsma Dairy,"16026 Road 64 Road, Tipton, CA 93272",36.08256,-119.42687,Tulare,2148,Mature dairy cattle,Dairy,2148,2349,4497,446.76,144.318,591,20-1051-000-SO,Alternative Manure Management Program,5,2021-10-31,39.904,104.41400000000002,551,<b>Name: </b>Brian James Jongsma Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>551 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
T & W Farms Dairy,"18346 Old River Road, Bakersfield, CA 93311",35.188587,-119.106794,Kern,4987,Mature dairy cattle,Dairy,4987,5454,10441,1037.262,379.946,1417,17-0493-000-DD,Dairy Digester Research and Development Program,10,2020-03-31,1179.928,0,1037,"<b>Name: </b>T & W Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,037 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
Brindiero & Danbom Dairy Farms,"5831 South Tegner Road, Turlock, CA 95380",37.43924,-120.88591,Stanislaus,720,Mature dairy cattle,Dairy,720,787,1507,149.728,48.373999999999995,198,19-0924-000-SO,Alternative Manure Management Program,5,2020-12-31,40.832,7.5419999999999945,157,<b>Name: </b>Brindiero & Danbom Dairy Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>157 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Brodt Dairy East,"439 Fulmor Road, Ferndale, CA 95536",40.601659,-124.249985,Humboldt,370,Mature dairy cattle,Dairy,370,405,775,76.98,18.165000000000003,95,18-0458-000-AM,Alternative Manure Management Program,5,2020-01-31,49.6,0,77,<b>Name: </b>Brodt Dairy East</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>77 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
De Jager Dairy So.,"8002 South Bliss Road, Chowchilla, CA 93610",37.17073,-120.37766,Merced,3365,Mature dairy cattle,Dairy,3365,3680,7045,699.89,226.085,926,18-0379-000-DD,Dairy Digester Research and Development Program,10,2020-02-01,600.7,0,700,<b>Name: </b>De Jager Dairy So.</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>700 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Sierra Vista Dairy LP,"22426 East Monte Vista Avenue, Denair, CA 95316",37.51533,-120.59018,Merced,1628,Mature dairy cattle,Dairy,1628,1780,3408,338.584,106.124,445,19-0965-000-SO,Alternative Manure Management Program,5,2020-10-31,84.13600000000001,21.987999999999985,361,<b>Name: </b>Sierra Vista Dairy LP</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>361 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
"Cahill Organic Dairy — Fulmor Road, Ferndale","1073 Fulmor Road, Ferndale, CA 95536",40.611232,-124.249824,Humboldt,500,Mature dairy cattle,Dairy,500,547,1047,104.00800000000001,24.547,129,19-0904-000-SO,Alternative Manure Management Program,5,2021-12-31,4.6,19.947000000000003,124,"<b>Name: </b>Cahill Organic Dairy — Fulmor Road, Ferndale</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>124 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project",Manure management
Cardoso Dairy,"2720 Kenney Avenue, Winton, CA 95388",37.43402,-120.53455,Merced,345,Mature dairy cattle,Dairy,345,377,722,71.738,22.489,94,19-0923-000-SO,Alternative Manure Management Program,5,2021-12-31,75.22399999999999,0,72,<b>Name: </b>Cardoso Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>72 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Coelho Frank & Sons L.P.Dairy,"2031 East Washington Road, El Nido, CA 95317",37.1129,-120.45863,Merced,2270,Mature dairy cattle,Dairy,2270,2483,4753,472.172,152.51600000000002,625,18-0454-000-AM,Alternative Manure Management Program,5,2019-08-31,97.19200000000001,55.32400000000001,527,<b>Name: </b>Coelho Frank & Sons L.P.Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>527 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Correia Family Dairy,"26380 West Fahey Road, Gustine, CA 95322",37.121965,-120.955863,Merced,1169,Mature dairy cattle,Dairy,1169,1278,2447,243.114,78.541,322,17-0660-000-AM,Alternative Manure Management Program,5,2019-05-20,167.968,0,243,<b>Name: </b>Correia Family Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>243 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Lawrence Family Farms Dairy,"14760 Avenue 208, Tulare, CA 93274",36.169677,-119.244962,Tulare,1250,Mature dairy cattle,Dairy,1250,1367,2617,259.988,83.984,344,19-0903-000-SO,Alternative Manure Management Program,5,2020-08-31,73.2,10.783999999999992,271,<b>Name: </b>Lawrence Family Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>271 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Curtimade Dairy,"18337 Road 24, Tulare, CA 93274",36.12105,-119.51852,Tulare,3385,Mature dairy cattle,Dairy,3385,3702,7087,704.058,227.429,931,19-0839-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,698.936,0,704,<b>Name: </b>Curtimade Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>704 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Westwood Farms LLC (Dairy),"6194 Avenue 228, Tulare, CA 93274",36.204467,-119.433634,Tulare,1475,Mature dairy cattle,Dairy,1475,1613,3088,306.78200000000004,99.101,406,19-0946-000-SO,Alternative Manure Management Program,5,2020-10-31,163.376,0,307,<b>Name: </b>Westwood Farms LLC (Dairy)</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>307 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Joe Da Silva Dairy (Dodds Rd),"27398 Dodds Road, Escalon, CA 95320",37.85674,-120.98296,San Joaquin,1727,Mature dairy cattle,Dairy,1727,1889,3616,359.222,116.033,475,17-0659-000-AM,Alternative Manure Management Program,5,2018-09-20,300.13599999999997,0,359,<b>Name: </b>Joe Da Silva Dairy (Dodds Rd)</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>359 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Da Silva Dairy Farms LLC Heifer Ranch,"22269 East Mariposa Road, Escalon, CA 95320",37.85552,-121.03725,San Joaquin,160,Heifers (non dairy affiliated),Other,0,160,160,10.24,0.32,11,20-1053-000-SO,Alternative Manure Management Program,5,2021-09-30,61.12,0,10,<b>Name: </b>Da Silva Dairy Farms LLC Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>10 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Da Silva Dairy Farms LP Dodds Heifer Ranch,"23335 Dodds Road, Escalon, CA 95320",37.856716,-121.02537,San Joaquin,1400,Heifers (non dairy affiliated),Other,0,1400,1400,89.6,2.8,92,19-0912-000-SO,Alternative Manure Management Program,5,2020-11-30,170.632,0,90,<b>Name: </b>Da Silva Dairy Farms LP Dodds Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>90 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Manuel Da Silva Dairy,"15836 Steingul Road, Escalon, CA 95320",37.81947,-120.96056,San Joaquin,940,Mature dairy cattle,Dairy,940,1028,1968,195.512,63.156,259,17-0666-000-AM,Alternative Manure Management Program,5,2019-09-30,132.84,0,196,<b>Name: </b>Manuel Da Silva Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>196 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Dasilva Dairy Farms LLC #2,"24628 East Mariposa Road, Escalon, CA 95320",37.83874,-121.0089,San Joaquin,400,Mature dairy cattle,Dairy,400,437,837,83.168,26.874,110,19-0942-000-SO,Alternative Manure Management Program,5,2021-03-31,26.552,0.3219999999999992,83,<b>Name: </b>Dasilva Dairy Farms LLC #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>83 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
DeGroot Dairies—South,"3101 Grangeville Boulevard, Hanford, CA 93230",36.34157,-119.515139,Kings,2776,Mature dairy cattle,Dairy,2776,3036,5812,577.392,186.512,764,18-0365-000-DD,Dairy Digester Research and Development Program,10,2020-09-30,797.908,0,577,<b>Name: </b>DeGroot Dairies—South</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>577 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
