facility_name,type,mitigation,adjusted_total_methane
Lone Oak Farms Dairy #1,Dairy,Dairy digester,987
Goyenetche Dairy LLC,Dairy,Dairy digester,986
Meloland Cattle Co.,Other,—,975
Shady Acres Dairy #2,Dairy,—,974
Cornerstone Dairy,Dairy,Dairy digester,963
Rocky Road Dairy,Dairy,—,963
John B Pires Dairy,Dairy,—,963
Trilogy Dairy,Dairy,Dairy digester,959
Veldhuis North Dairy,Dairy,—,959
"Meirinho West, Inc.",Dairy,—,949
Couco Creek Dairy,Dairy,—,946
Foster Feed Yard,Other,—,930
Foster Feed Yard — Keystone,Other,—,924
Mendes Calf Ranch #1,Other,—,924
J & R Dairy,Dairy,—,921
Lone Oak #2 Dairy,Dairy,—,915
Double DJ Farms Dairy,Dairy,—,908
Bear Mountain Dairy,Dairy,—,904
James Jongsma Dairy,Dairy,Manure management,903
Fred A Douma Dairy Partnership,Dairy,—,898
Scheenstra Dairy,Dairy,Dairy digester,894
Lakeside Dairy,Dairy,Dairy digester,892
Lakeview Farms Dairy,Dairy,Dairy digester,882
Jer—Z— Boys Dairy #1,Dairy,—,875
Temple Creek Dairy,Dairy,—,867
Bullfrog Farms,Dairy,—,863
Frings Ranch,Other,—,858
Richmar Farms Dairy,Dairy,—,858
Northstar Dairy,Dairy,Dairy digester,842
Fern Oak Farms Dairy,Dairy,Dairy digester,841
B. V. Dairy,Dairy,Dairy digester,838
Holstein Farms Dairy,Dairy,—,837
K A Vanderham Dairy,Dairy,—,828
Anchor J Dairy,Dairy,—,826
Hamstra Dairy Complex,Dairy,Dairy digester,825
Frings Ranch #2,Other,—,825
Rancho Teresita Dairy,Dairy,Dairy digester,822
Ribeiro Dairy,Dairy,Dairy digester,822
Pacheco and Associates II Dairy,Dairy,—,821
LegenDairy West,Dairy,—,820
Foster Dairy Farms #4,Dairy,—,818
DeJager Dairy #1 North,Dairy,—,816
Raymond M. & Sue Quaresma Dairy,Dairy,—,815
Gerben Leyendekker Dairy #1,Dairy,Dairy digester,813
Dykstra Dairy,Dairy,Dairy digester,811
Elkhorn Dairy,Dairy,Dairy digester,806
Shasta Livestock Auction Yard,Other,—,805
Bos Farms LP,Dairy,Dairy digester,803
Robert Gioletti & Sons Dairy,Dairy,Manure management,793
SCF — Kershaw Yard,Other,—,792
Del Charro,Other,—,790
H & P Dairy,Dairy,—,789
Hollandia Farms North,Dairy,—,787
Van Beek Brothers Dairy,Dairy,—,786
Troost Dairy,Dairy,—,784
George Tevelde Dairy,Dairy,—,781
Valsigna Dairy,Dairy,—,780
William & John Jongsma Dairy,Dairy,—,779
Aukeman Dairy,Dairy,—,776
Will De Groot Dairy,Dairy,—,775
"BWC Weststeyn Dairy, LP",Dairy,Manure management,766
Charles Ahlem Ranch,Dairy,Dairy digester,765
Charles Vander Kooi Dairy,Dairy,Dairy digester,765
Vander Woude Dairy,Dairy,Dairy digester,765
Four J Farms Dairy,Dairy,—,764
Madera Calf Ranch,Other,—,759
"Rodoni Dairy Farms, LP",Dairy,—,759
J & T Cattle Company,Other,—,757
Tony L. Lopes Dairy LP #1,Dairy,—,757
Newhouse Dairy,Dairy,Dairy digester,754
Skyline Dairy,Dairy,—,749
Riverview Dairy,Dairy,Dairy digester,745
Seifert Dairy Farm,Dairy,Manure management,741
Aukeman Farms Dairy,Dairy,Dairy digester,739
"Nicholas Calf Ranch, LLC",Other,—,739
De Boer Dairy,Dairy,Dairy digester,732
Faial Farms 2 Dairy,Dairy,—,731
Reata Cattle Feeders,Other,—,727
Curti Family Inc.,Dairy,—,726
Fontes Dairy Farms—Dairy 2,Dairy,—,725
3 Machados Dairy,Dairy,—,724
Vierra Ranch Dairy,Dairy,Manure management,722
Ahlem Farms Partnership,Dairy,Dairy digester,718
Avalon Dairy Farms,Dairy,Dairy digester,718
MC Moo Farms Dairy,Dairy,Dairy digester,718
"Hilmar Holsteins, Inc.",Dairy,—,715
Maple Dairy,Dairy,—,714
GJ Silva,Dairy,—,711
J R Dairy,Dairy,Dairy digester,707
Curtimade Dairy,Dairy,Dairy digester,704
Capstone Dairy,Dairy,Manure management,704
S & S Dairy,Dairy,Dairy digester,703
Moonshine Dairy,Dairy,—,702
Four Star Dairy,Dairy,—,702
De Jager Dairy So.,Dairy,Dairy digester,700
Louie De Groot Dairy,Dairy,—,699
La Brucherie (McCabe) Feedyard,Other,—,699
Manuel & Alda Lawrence Dairy,Dairy,—,699
Friesian Farms Dairy,Dairy,Dairy digester,697
J & D Wilson & Sons Dairy,Dairy,Dairy digester,697
Double D Dairy,Dairy,Dairy digester,695
Van Dyk Cattle Co.,Other,—,693
West Wing Dairy,Dairy,—,691
P H Ranch Inc.,Dairy,—,691
Hettinga Farms Dairy,Dairy,Dairy digester,690
Vista Verde Dairy,Dairy,Dairy digester,688
Milk Time Dairy,Dairy,—,688
DG Farms,Dairy,—,684
John De Groot & Son Dairy,Dairy,—,684
"Philip Verwey Dairy, Inc.",Dairy,Dairy digester,678
Pastime Lakes Dairy,Dairy,—,675
Ramona Dairy #2,Dairy,—,675
G3 Dairy,Dairy,—,674
Dover Dairy,Dairy,—,672
Tollcrest Dairy,Dairy,—,672
South Creek Dairy,Dairy,Manure management,670
L & J Vanderham Dairy,Dairy,Dairy digester,669
South Corner Dairy,Dairy,—,669
Chris & John Jongsma Dairy,Dairy,—,666
G & H Dairy,Dairy,—,666
Antonio Brasil Dairy,Dairy,Manure management,665
Vander Schaff Dairy,Dairy,—,664
Ahlem's Foothills Farms,Dairy,—,660
Desert Oasis Dairy,Dairy,—,660
Del—Arco Dairy,Dairy,—,660
Guess Cattle,Other,—,660
Jackson Feedlot,Other,—,660
FM Jerseys Dairy,Dairy,Dairy digester,658
Barmac Dairy,Dairy,—,656
Hidden Valley Dairy,Dairy,—,656
Mattos Brothers Dairy,Dairy,—,654
"Gold Star Enterprises, LLC",Other,—,646
Moonlight Dairy,Dairy,Dairy digester,645
Ron Verhoeven Family Dairy,Dairy,—,645
David Vander Schaaf Dairy,Dairy,—,644
Borba Dairy Farms,Dairy,—,642
Nylund Dairy Farms,Dairy,—,642
Decade Dairy,Dairy,Dairy digester,639
Dairyland Farms Dairy,Dairy,Dairy digester,637
Double Oak Dairy,Dairy,—,635
Felicita Dairy,Dairy,—,633
L & L Dairy Farms,Dairy,—,633
Oasis Holsteins Dairy,Dairy,—,631
Red Rock Dairy,Dairy,Dairy digester,629
Grand View Dairy,Dairy,—,627
SCF — Butter Spur West,Other,—,627
John A Machado Dairy Farms,Dairy,—,624
Rock—Shar Dairy,Dairy,Dairy digester,620
Eddie Silveira Family Dairy,Dairy,—,620
Robert Vander Eyk Dairy,Dairy,Dairy digester,618
"Coalinga Feed Yard, Inc.",Other,—,618
Circle A Dairy,Dairy,Dairy digester,614
Rancho Sierra Vista Dairy,Dairy,Dairy digester,614
Mario Simoes Family Dairy #1,Dairy,Dairy digester,610
Vander Tuig Dairy,Dairy,—,605
Edward Nunes Dairy,Dairy,—,604
Val Martins Dairy,Dairy,Manure management,602
LegenDairy South,Dairy,—,602
4K Dairy Farm Partnership,Dairy,Dairy digester,599
Legend Dairy Farms,Dairy,—,597
Angelo Vieira Dairy,Dairy,—,595
Hollandia Farms North Dairy,Dairy,Dairy digester,591
Ahlem Farms Vista,Dairy,Dairy digester,591
De Groot Dairies—North,Dairy,—,587
Boschma & Sons Dairy,Dairy,Dairy digester,586
A & M Farms Dairy,Dairy,—,586
Legacy Ranch 2 (Dairy),Dairy,Dairy digester,584
Bar None/Van Der Hoek Dairy,Dairy,Dairy digester,582
Alamo Farms,Dairy,Manure management,581
DJ Dairy,Dairy,—,581
Nunes & Sons Dairy,Dairy,—,581
Fagundes Dairy,Dairy,—,580
Frank N Rocha Dairy LP,Dairy,Manure management,578
Lumar Dairy Farms,Dairy,—,578
Highstreet Dairy,Dairy,—,578
DeGroot Dairies—South,Dairy,Dairy digester,577
Milk Made Dairy,Dairy,—,576
"Wickstrom Jersey Farms, Inc.",Dairy,Dairy digester,572
Parreira Dairy,Dairy,—,569
DDW Farms LLC Dairy,Dairy,—,567
Moonstone Dairy,Dairy,—,567
Yokum Dairy,Dairy,Dairy digester,566
Souza's Dairy,Dairy,—,565
Tony Morris Dairy,Dairy,—,564
Flint Dairy,Dairy,Dairy digester,562
Dyt Dairy,Dairy,—,560
De Jong Dairy Farms Inc.,Dairy,—,559
Kootstra Dairy,Dairy,—,557
Alexandre Dairy,Dairy,Manure management,552
Brian James Jongsma Dairy,Dairy,Manure management,551
Live Oak Dairy F,Dairy,—,550
Henry Jongsma And Son Dairy,Dairy,—,548
Triple H Dairy #1,Dairy,—,547
Joshua and James Jongsma Dairy,Dairy,—,544
Thommen Dairy,Dairy,Manure management,543
Alta Sierra Dairy,Dairy,—,541
Poplar Lane Dairy,Dairy,Dairy digester,539
Rio Blanco Dairy,Dairy,Dairy digester,539
Sweet Haven Dairy,Dairy,—,539
"Tri BAK Dairy, LLC",Dairy,—,537
Ansonea Dairy,Dairy,—,532
Haringa Dairy,Dairy,—,532
Avenue 128 Dairy,Dairy,—,531
Edwin Brasil Dairy,Dairy,—,530
Tulare Sales Yard Inc.,Other,—,528
Coelho Frank & Sons L.P.Dairy,Dairy,Manure management,527
Hoogendam Dairy,Dairy,Dairy digester,526
Delta View Farms Dairy,Dairy,—,526
Oakbend South Dairy,Dairy,—,525
Cross A Dairy,Dairy,—,523
Van Exel Dairy #1,Dairy,—,523
Petrissans Dairy,Dairy,—,521
Cameiro Heifer Ranch,Other,—,521
Martins Bros Dairy,Dairy,—,521
River Oaks Dairy,Dairy,—,521
Matos Dairy,Dairy,Manure management,520
5 H Farms,Dairy,Dairy digester,518
Double Creek Dairy,Dairy,—,517
Rainimade Dairy,Dairy,Manure management,516
6—X Dairy #1,Dairy,—,516
Tristar Dairy,Dairy,—,515
Five Star Dairy,Dairy,—,512
B—6 Dairy,Dairy,—,511
Overland Stock Yard,Other,—,511
Clauss Dairy Farms,Dairy,Dairy digester,510
"Borba Cattle Company, LP",Dairy,—,510
Hynes Dairy,Dairy,—,509
Mancebo Holsteins #1,Dairy,—,509
Richard Westra Dairy,Dairy,—,509
Whiteside Dairy,Dairy,Dairy digester,508
Marvo Holsteins Dairy,Dairy,—,506
Dennis Boertje & Son Dairy,Dairy,—,505
Lou—Mar Dairy,Dairy,—,505
JVJ Dairy #2 — Parkview Dairy,Dairy,—,505
Green Valley Dairy,Dairy,—,501
Sun Valley Dairy,Dairy,—,501
Gold Medal Ag #1 Dairy,Dairy,Dairy digester,499
Homen Dairy Farms LP,Dairy,Dairy digester,499
140 Cattle Co.,Other,—,499
"Kiss Cattle, LLC",Other,—,498
Mellema Dairy,Dairy,Dairy digester,496
Foster Dairy Farms #6,Dairy,—,495
Robinson Calf Ranch,Other,—,495
Milk Maid Dairy,Dairy,—,494
VP Farms Dairy,Dairy,—,494
Robinson Feedlot — 3R Cattle,Other,—,488
Cowlifornia Dairy LLC,Dairy,—,487
Sierra View Dairy,Dairy,Manure management,486
Triangle M Dairy,Dairy,—,482
Endeavor Gold Dairy,Dairy,—,482
Frank J. Borges Dairy North,Dairy,—,480
"River Rock Ranch, LLC",Dairy,Dairy digester,479
Borges Dairy,Dairy,—,478
John Silveira Dairy Inc,Dairy,Manure management,476
Stiefel Dairy,Dairy,—,474
Frank S. Brown Co. Dairy,Dairy,—,473
El Monte Dairy,Dairy,Dairy digester,472
Mountain View Dairy,Dairy,—,472
Phoenix Dairy,Dairy,—,469
Dairy Central,Dairy,—,468
Fiscalini Farms,Dairy,—,468
River Oak Dairy,Dairy,—,468
Rob Van Grouw Dairy,Dairy,Dairy digester,466
Fernridge Farms,Dairy,—,466
Pacheco Dairy,Dairy,—,466
P & M Dairy,Dairy,—,465
Pete Vander Poel Dairy,Dairy,—,463
Jose V. Silveira Dairy,Dairy,Manure management,462
West Creek Dairy,Dairy,—,458
Borba Dairy,Dairy,—,456
Rocking S Dairy #2,Dairy,—,454
Chino Valley Dairy #3,Dairy,—,450
Oostdam Dairy,Dairy,—,450
Fred Rau Dairy,Dairy,—,450
John Jongsma Dairy,Dairy,—,448
Faria Farms Inc. Dairy,Dairy,—,448
River Valley Dairy,Dairy,—,448
Vander Schaff Dairy #2,Dairy,—,448
Miranda Dairy,Dairy,Manure management,444
Tierra Buena Ranch,Dairy,—,443
Blue Sky Dairy,Dairy,Manure management,442
Valadao Dairy,Dairy,Dairy digester,442
Affentranger & Sons Dairy,Dairy,—,440
Goedhart Dairy,Dairy,—,440
Hilltop Holsteins Dairy,Dairy,—,438
Mt. Whitney Dairy,Dairy,Manure management,437
Melo Dairy,Dairy,Dairy digester,437
Alamo Dairy,Dairy,Manure management,433
F M Ranch #5,Dairy,—,433
Crossview Dairy,Dairy,—,433
LEGENDAIRY FARMS DAIRY,Dairy,—,432
Blue Moon Farms,Dairy,—,430
Pires Dairy,Dairy,—,429
Joe V Pimentel Dairy,Dairy,—,427
High Roller Dairy,Dairy,Dairy digester,424
Jim Bootsma Jr Dairy,Dairy,—,422
"Dutra Farms, Inc.",Dairy,—,421
Dick Van Dam Dairy,Dairy,—,419
De Jong Bros Dairy,Dairy,—,417
Joe Simoes Family Dairy,Dairy,—,417
Pacific Sun Dairy,Dairy,—,416
J&D Wilson Dairy #2,Dairy,—,415
Lu — AR Dairy,Dairy,—,415
"Milkaholic Dairy, LLC",Dairy,—,413
Sunwest Jersey Dairy,Dairy,—,413
Rosa Dairy,Dairy,—,413
Frank J Borges Dairy,Dairy,—,410
Oakview Dairy,Dairy,—,410
Rivercrest Cattle Co.,Dairy,Manure management,409
Coelho Farms Dairy,Dairy,—,408
Garcia's Registered Jerseys,Dairy,—,408
Arthur Leyendekker Dairy,Dairy,Dairy digester,406
Martins View Jersey Dairy,Dairy,—,405
Generations Dairy,Dairy,—,404
Joe O Rocha Dairy Inc.,Dairy,—,403
John & Nicole Santos Dairy,Dairy,—,402
Prime Cattle LLC,Other,—,400
Northview Dairy,Dairy,—,398
Vaca Linda Dairy,Dairy,—,398
"California Dairy Farms, LLC",Dairy,—,398
Legend Dairy Farm,Dairy,—,398
Mellema Calf Ranch,Other,—,398
Georgenson Dairy,Dairy,—,398
Sozinho Dairy #1 and #3,Dairy,—,398
Patrick Bert Heifer Ranch,Other,—,396
"Pinnacle Dairy, LP",Dairy,—,396
Jaques & Silva Dairy,Dairy,—,396
Holland's Dairy,Dairy,—,394
Chris De Jong Dairy,Dairy,—,394
O & S Holsteins,Dairy,—,394
Faial Farms Dairy,Dairy,—,392
De Snayer Dairy,Dairy,Manure management,391
Avila Family Dairy,Dairy,—,391
A & M De Souza Dairy,Dairy,—,391
East Ridge Farms,Dairy,—,391
T & M Borba Dairy,Dairy,Manure management,390
Silva Dairy Farms #3A,Dairy,Manure management,390
Western Pacific Dairy,Dairy,—,390
GTA Dairy,Dairy,—,389
Manuel Morris Dairy,Dairy,Manure management,388
Schott Dairy,Dairy,Dairy digester,386
Trinkler Dairy Farms,Dairy,Dairy digester,385
SD Farms II,Dairy,—,385
Soares Dairy,Dairy,—,384
Jesse & James Jongsma Dairy,Dairy,Manure management,383
"River Rock Ranch, LLC",Dairy,—,381
Sozinho Dairy #2,Dairy,—,381
Parreira & Gaspar Dairy,Dairy,—,380
William Koot Dairy — Holland,Dairy,—,380
GH Dairy #5,Dairy,—,379
Jose & Teresa Soares Dairy,Dairy,—,377
"New Hope Dairy, LLC",Dairy,—,377
Pacheco & Fagundes Dairy,Dairy,—,376
Jacobus Degroot Dairy #1,Dairy,—,375
Carl Vieira Dairy,Dairy,—,374
Yettem Dairy,Dairy,—,374
Triple J Creek Dairy,Dairy,—,371
Live Oak Dairy G,Dairy,—,371
W.J. Dairy #2,Dairy,—,371
Cream Top Dairy,Dairy,—,369
GM Silva Dairies #2,Dairy,Manure management,367
Parreira Gaspar Dairy,Dairy,—,367
Morning Star Dairy,Dairy,—,367
Double Cross #6,Dairy,—,366
Scott Bros Dairy,Dairy,—,366
Westwind Dairy,Dairy,—,365
"Ruann Dairy, LLC",Dairy,—,365
Wagner Dairy,Dairy,Manure management,364
Elk Creek Dairy,Dairy,—,364
G—P Dairy,Dairy,—,364
Postma Dairy #2,Dairy,—,364
G & A Dairy,Dairy,—,364
Manuel & Jeannette Borges Dairy,Dairy,—,363
Medeiros Dairy,Dairy,—,362
Sierra Vista Dairy LP,Dairy,Manure management,361
F & S Brasil Dairy,Dairy,Manure management,361
Joe Da Silva Dairy (Dodds Rd),Dairy,Manure management,359
Nunes Bros. Dairy,Dairy,—,358
Rijlaarsdam Dairy,Dairy,—,358
Mello Ranch,Other,—,356
Monteiro Bros. Dairy #1,Dairy,—,356
John Brasil & Sons Dairy,Dairy,—,355
Creekside Dairy,Dairy,—,355
Tiva Dairy,Dairy,—,355
Lima Ranch,Dairy,Manure management,354
Rib—Arrow Dairy,Dairy,Dairy digester,354
Homestead Dairy,Dairy,—,354
Forebay Farms Dairy,Dairy,—,354
Hoekstra Dairy,Dairy,—,354
Carlos Lourenco Dairy,Dairy,—,353
East View Dairy,Dairy,—,353
Bidart Dairy No. 3,Dairy,—,352
Fagundes Bros. Dairy #1,Dairy,—,351
Casa Blanca Cattle Company,Other,—,351
Azevedo Dairy,Dairy,—,351
Silveira Dairy,Dairy,Manure management,348
Dutch Dairy,Dairy,—,348
Rocking S Dairy #1,Dairy,—,347
Boersma Dairy,Dairy,—,346
Vitor Borba Dairy #2,Dairy,—,344
"The Dairy, Inc.",Dairy,—,344
Vieira Dairy Farms,Dairy,—,344
Red Rose Dairy,Dairy,—,343
Faria West,Dairy,—,341
Little Rock Dairy,Dairy,Dairy digester,340
Chino Valley Dairy #1,Dairy,—,340
West Lake Cattle Company LLC,Other,—,340
Terra Linda Dairy,Dairy,—,337
Big De Cattle Dairy,Dairy,—,337
"Jackson Dairy, LLC",Dairy,—,336
"Ackerman Dairy, Inc.",Dairy,Dairy digester,335
Golden State Dairy,Dairy,—,335
Tony Cox Dairy #4,Dairy,—,333
Delta View Farms #3,Dairy,—,333
Foster Dairy Farms #5,Dairy,—,333
Bill Idsinga Dairy,Dairy,—,333
Soares Dairy #3,Dairy,—,332
Performance Cattle Co.,Other,—,331
Top O' The Morn Farms,Dairy,—,331
Double B Dairy,Dairy,Manure management,330
Antonio Azevedo Dairy #2,Dairy,—,330
Visalia Livestock Market,Other,—,330
Brentwood Farms Dairy,Dairy,—,330
Merritt Ranch Feedlot,Other,—,330
Traver Cattle Ranch,Other,—,330
Orland Livestock Commission Yard,Other,—,330
Machado Dairy Farms #3,Dairy,—,330
Live Oak Dairy E,Dairy,—,330
Double D Jerseys,Dairy,—,329
Alves & Son Dairy #2,Dairy,—,329
Pacific Coast Calf Ranch,Other,—,327
Edelweiss Dairy,Dairy,—,327
Sozinho Dairy #5,Dairy,—,327
De Wit Dairy,Dairy,Manure management,326
Joe R. Garcia Dairy,Dairy,—,326
A & B Heifer Ranch,Other,—,325
M Bar 9 Dairy,Dairy,—,324
Andrew Zylstra Dairy Inc. #1,Dairy,Manure management,322
Sousa Dairy,Dairy,—,321
3H Cattle Co,Other,—,320
Gerrit Visser & Sons Dairy,Dairy,—,320
Triangle S Dairy LLC,Dairy,—,320
AJ Slenders Dairy,Dairy,—,319
Sozinho Jerseys Dairy,Dairy,—,319
Legend Dairy Farms,Dairy,—,318
Joaquim Mattos & Family Dairy,Dairy,—,317
McClelland Dairy,Dairy,—,317
Pond Heifer Ranch,Other,—,317
Alberto Dairy,Dairy,—,316
Williams Family Dairy #2,Dairy,—,316
JD Mello Dairy,Dairy,—,316
Maximinio Silviera Dairy,Dairy,—,316
Van Tol Dairy No 2,Dairy,—,316
Gerrit Hofman Dairy,Dairy,—,315
Fagundes Bros. Dairy #3,Dairy,—,314
Sunrise Dairy,Dairy,—,314
4—H Calf Ranch,Other,—,312
Henry Veenendaal Dairy,Dairy,—,311
Bear 5 Feedlot,Other,—,310
Teunissen Ranch,Other,—,310
Machado Dairy Farms #1,Dairy,—,309
AJF Dairy,Dairy,—,308
E & R Prins Dairy #1,Dairy,—,308
Westwood Farms LLC (Dairy),Dairy,Manure management,307
M.F. Rosa Dairy,Dairy,—,307
SB Farms,Dairy,—,307
Jacobus de Groot Dairy #2,Dairy,Dairy digester,304
Elbow Creek Dairy,Dairy,—,304
Oakbend Dairy,Dairy,—,304
Joe & Renee Barroso Dairy,Dairy,—,303
Wagner Dairy #2,Dairy,—,303
Healy Ranch,Dairy,—,303
Edwin H Smith & Sons Dairy,Dairy,—,303
Double G Dairy,Dairy,—,303
Machado Dairy,Dairy,—,303
Dirk—C Holsteins Operations,Dairy,—,302
Kisst Dairy,Dairy,—,301
John Vander Schaaf #3 Dairy,Dairy,—,300
J & J DeRaadt Dairy,Dairy,—,300
Frank C. Lawrence Dairy,Dairy,—,300
Martin Land and Cattle,Dairy,—,300
SBS AG Dairy,Dairy,Manure management,299
Frank Azevedo Dairy,Dairy,—,299
Black Diamond Dairy,Dairy,—,299
Double G Dairy,Dairy,—,298
MS Monteiro & Sons Dairy,Dairy,—,298
Fernjo Dairy #1,Dairy,—,297
Manuel Azevedo Dairy,Dairy,—,296
Vieira Dairy Farm,Dairy,—,296
Double N Dairy,Dairy,—,296
Hidden Valley Cattle,Other,—,295
Manuel Oliviera Dairy,Dairy,Manure management,293
Domingos Ribeiro Dairy,Dairy,—,292
Eden—Vale Dairy,Dairy,—,289
Live Oak Dairy D,Dairy,—,289
"Staas Farms, Inc.",Dairy,—,288
GH Dairy #2,Dairy,—,286
Alvaro Machado Dairy,Dairy,—,286
A.T.O Dairy,Dairy,—,286
Roest Family Dairy,Dairy,—,284
"Diamond S Ranch, Inc.",Dairy,—,284
Dias and Sons Dairy,Dairy,—,283
Arthur Vitoria Dairy,Dairy,—,282
Bapu Farming,Other,—,282
Roestar Dairy,Dairy,—,282
Albert Mendes Dairy,Dairy,Dairy digester,281
Albert Goyenetche Dairy #2,Dairy,—,281
S & S Dairy Inc,Dairy,Dairy digester,280
Ag Recycle Inc,Other,—,280
Cuyama Dairy,Dairy,—,280
"Joe Simoes & Sons Dairy, Inc.",Dairy,—,280
Art Silva Dairy,Dairy,Manure management,278
Alfred C Nunes Dairy,Dairy,—,278
Sozinho Jerseys,Dairy,—,277
Dixie Creek South Dairy,Other,—,276
Mello D Jerseys,Dairy,—,275
D & D Holsteins Dairy,Dairy,—,275
Van Warmerdam Dairy (McKenzie Rd),Dairy,—,275
Rui and Jennifer Brasil Dairy,Dairy,—,274
"Faria Dairy, Inc #1",Dairy,—,274
Toste Dairy,Dairy,—,274
Blue Star Dairy,Dairy,—,274
T & W Farms #2 Dairy,Dairy,—,273
Little H Dairy,Dairy,—,272
Koolhaas Dairy,Dairy,—,272
A & C Machado Dairy,Dairy,Dairy digester,271
Lawrence Family Farms Dairy,Dairy,Manure management,271
Contente & Company Dairy,Dairy,—,271
Mendonsa Family Farms Dairy,Dairy,—,271
Jim Bakker Dairy,Dairy,—,270
Frank Konyn Dairy,Dairy,—,268
Doornenbal Dairy,Dairy,—,267
Adriano Nunes & Son Dairy Farming,Dairy,—,267
"Western Milling LLC., dba Goshen West Ranch",Other,—,267
Tony Cox Family Dairy #3,Dairy,—,266
Nyman Brothers Dairy,Dairy,Dairy digester,265
Double N Dairy II,Dairy,—,264
GH Dairy #4,Dairy,—,264
Double Cross Dairy,Dairy,—,263
3A Teixeira Dairy,Dairy,—,262
Joe Oliveira Dairy,Dairy,Dairy digester,261
Silva Brothers Dairy,Dairy,Manure management,261
Hakker Dairy,Dairy,—,261
"Flatland Farms, LLC",Dairy,—,261
A.M. Dairy,Dairy,—,261
Mancebo Holsteins #2 Dairy,Dairy,—,261
Jose Ribeiro & Son Dairy,Dairy,—,261
Four J Jerseys Dairy #2,Dairy,—,261
White River,Other,—,261
Manuel & Maria Cardoso & Sons Dairy,Dairy,—,259
Art Silva and Son Dairy,Dairy,—,259
Antonio Ribeiro Dairy,Dairy,—,258
Joe and Pauline Meirinho Dairy,Dairy,Manure management,257
Twin Star Dairy,Dairy,—,257
Panama Ranch Dairy,Dairy,—,256
Legacy Holsteins,Dairy,Dairy digester,255
Alfred Soares Dairy,Dairy,Manure management,253
Azevedo Dairy,Dairy,—,253
