auth_no,name,animal_type,latitude,longitude,digester,total,milking,other,type,enteric_methane,manure_methane,total_methane,labeltext
TXG920060,Tom Osterkamp Dairy,5000 TOTAL DAIRY CATTLE OF WHICH 2700 ARE MILKING DAIRY CATTLE,34.566666,-102.51666,FALSE,5000,2700,2300,Dairy,519.8,174.7,694,<b>Name: </b>Tom Osterkamp Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>694 metric tons
TXG920061,Osterkamp Dairy West,6600 TOTAL DAIRY CATTLE OF WHICH 3000 ARE MILKING DAIRY CATTLE,34.577,-102.5384,FALSE,6600,3000,3600,Dairy,644.4,196.2,841,<b>Name: </b>Osterkamp Dairy West</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>841 metric tons
TXG920068,Amelia Dairy,1475 TOTAL DAIRY CATTLE OF WHICH 1475 ARE MILKING DAIRY CATTLE,33.957833,-95.263166,FALSE,1475,1475,0,Dairy,203.55,104.725,308,<b>Name: </b>Amelia Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>308 metric tons
TXG920073,Rafter 3 Feedyard,CATTLE (BEEF) - 90000,34.506388,-102.40694,FALSE,90000,0,90000,Other,5760,180,5940,"<b>Name: </b>Rafter 3 Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,940 metric tons"
TXG920081,JD Myrick Feedyard,CATTLE (BEEF) - 29500,34.428888,-102.06305,FALSE,29500,0,29500,Other,1888,59,1947,"<b>Name: </b>JD Myrick Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,947 metric tons"
TXG920086,Billy Lasater Dairy,1498 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,31.700833,-98.310833,FALSE,1498,1200,298,Dairy,184.672,89.396,274,<b>Name: </b>Billy Lasater Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>274 metric tons
TXG920090,Lageschaar Dairy,999 TOTAL DAIRY CATTLE OF WHICH 996 ARE MILKING DAIRY CATTLE,33.0585,-95.345666,FALSE,999,996,3,Dairy,137.64,73.71,211,<b>Name: </b>Lageschaar Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>211 metric tons
TXG920095,Heath Hogan Dairy,500 TOTAL DAIRY CATTLE OF WHICH 500 ARE MILKING DAIRY CATTLE,32.301666,-97.461666,FALSE,500,500,0,Dairy,69,39,108,<b>Name: </b>Heath Hogan Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>108 metric tons
TXG920108,T & S Dairy,2621 TOTAL DAIRY CATTLE OF WHICH 2621 ARE MILKING DAIRY CATTLE,32.761905,-95.170065,FALSE,2621,2621,0,Dairy,361.698,193.954,556,<b>Name: </b>T & S Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>556 metric tons
TXG920114,Mayfield Dairy,999 TOTAL DAIRY CATTLE OF WHICH 999 ARE MILKING DAIRY CATTLE,32.2225,-98.401111,FALSE,999,999,0,Dairy,137.862,73.926,212,<b>Name: </b>Mayfield Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>212 metric tons
TXG920117,Still Meadow Dairy,8999 TOTAL DAIRY CATTLE OF WHICH 4999 ARE MILKING DAIRY CATTLE,33.080833,-95.41,FALSE,8999,4999,4000,Dairy,945.862,377.926,1324,"<b>Name: </b>Still Meadow Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,324 metric tons"
TXG920125,David Whitaker Feedlot,CATTLE (BEEF) - 3000,35.253611,-101.68444,FALSE,3000,0,3000,Other,192,3,195,<b>Name: </b>David Whitaker Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>195 metric tons
TXG920133,Van Rijn Dairy 1,699 TOTAL DAIRY CATTLE OF WHICH 550 ARE MILKING DAIRY CATTLE,33.1255,-95.338383,FALSE,699,550,149,Dairy,85.436,40.998,126,<b>Name: </b>Van Rijn Dairy 1</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>126 metric tons
TXG920136,Pleasant Hill Dairy,990 TOTAL DAIRY CATTLE OF WHICH 990 ARE MILKING DAIRY CATTLE,33.1,-95.283333,FALSE,990,990,0,Dairy,136.62,70.29,207,<b>Name: </b>Pleasant Hill Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>207 metric tons
TXG920137,Van Rijn Dairy 3,699 TOTAL DAIRY CATTLE OF WHICH 699 ARE MILKING DAIRY CATTLE,33.089,-95.419,FALSE,699,699,0,Dairy,96.462,51.726,148,<b>Name: </b>Van Rijn Dairy 3</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>148 metric tons
TXG920140,Hanna Dairy,650 TOTAL DAIRY CATTLE OF WHICH 650 ARE MILKING DAIRY CATTLE,32.456666,-97.474666,FALSE,650,650,0,Dairy,89.7,50.7,140,<b>Name: </b>Hanna Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>140 metric tons
TXG920145,Hyman Farms,CATTLE (BEEF) - 7500,34.383333,-102.3475,FALSE,7500,0,7500,Other,480,15,495,<b>Name: </b>Hyman Farms</br><b>Type: </b>Other</br><b>Methane emissions: </b>495 metric tons
TXG920146,Owl Feedyard 1,CATTLE (BEEF) - 2500,34.821388,-102.36916,FALSE,2500,0,2500,Other,160,5,165,<b>Name: </b>Owl Feedyard 1</br><b>Type: </b>Other</br><b>Methane emissions: </b>165 metric tons
TXG920147,Owl Feedyard 2,CATTLE (BEEF) - 4000,34.82,-102.35416,FALSE,4000,0,4000,Other,256,8,264,<b>Name: </b>Owl Feedyard 2</br><b>Type: </b>Other</br><b>Methane emissions: </b>264 metric tons
TXG920150,Overwhere Dairy,1784 TOTAL DAIRY CATTLE OF WHICH 1784 ARE MILKING DAIRY CATTLE,32.009716,-98.431,FALSE,1784,1784,0,Dairy,246.192,132.016,378,<b>Name: </b>Overwhere Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>378 metric tons
TXG920152,Hoekman Dairy,5500 TOTAL DAIRY CATTLE OF WHICH 4200 ARE MILKING DAIRY CATTLE,31.896388,-98.374166,FALSE,5500,4200,1300,Dairy,662.8,313.4,976,<b>Name: </b>Hoekman Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>976 metric tons
TXG920157,Ogle Cattle,CATTLE (BEEF) - 2999,33.566666,-97.883333,FALSE,2999,0,2999,Other,191.936,5.998,198,<b>Name: </b>Ogle Cattle</br><b>Type: </b>Other</br><b>Methane emissions: </b>198 metric tons
TXG920163,Steenbeek Dairy,425 TOTAL DAIRY CATTLE OF WHICH 400 ARE MILKING DAIRY CATTLE,33.12493,-95.3869,FALSE,425,400,25,Dairy,56.8,29.65,86,<b>Name: </b>Steenbeek Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>86 metric tons
TXG920164,Kings X Dairy,4000 TOTAL DAIRY CATTLE OF WHICH 2500 ARE MILKING DAIRY CATTLE,32.1575,-97.104444,FALSE,4000,2500,1500,Dairy,441,198,639,<b>Name: </b>Kings X Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>639 metric tons
TXG920173,DSM Dairy Star,1200 TOTAL DAIRY CATTLE OF WHICH 800 ARE MILKING DAIRY CATTLE,31.440833,-98.376944,FALSE,1200,800,400,Dairy,136,60,196,<b>Name: </b>DSM Dairy Star</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>196 metric tons
TXG920189,Tex Stein Dairy,3000 TOTAL DAIRY CATTLE OF WHICH 1500 ARE MILKING DAIRY CATTLE,33.5625,-98.443666,FALSE,3000,1500,1500,Dairy,303,105,408,<b>Name: </b>Tex Stein Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>408 metric tons
TXG920191,Palo Duro Feeders,CATTLE (BEEF) - 37000,36.127777,-101.43611,FALSE,37000,0,37000,Other,2368,37,2405,"<b>Name: </b>Palo Duro Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>2,405 metric tons"
TXG920203,Dempsey Dairy,600 TOTAL DAIRY CATTLE OF WHICH 600 ARE MILKING DAIRY CATTLE,32.263833,-98.4245,FALSE,600,600,0,Dairy,82.8,44.4,127,<b>Name: </b>Dempsey Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>127 metric tons
TXG920209,Gibson Feedlot,CATTLE (BEEF) - 1400,32.084833,-98.2705,FALSE,1400,0,1400,Other,89.6,2.8,92,<b>Name: </b>Gibson Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>92 metric tons
TXG920211,Jochum Schievink Dairy,1200 TOTAL DAIRY CATTLE OF WHICH 950 ARE MILKING DAIRY CATTLE,31.960333,-98.238666,FALSE,1200,950,250,Dairy,147.1,70.8,218,<b>Name: </b>Jochum Schievink Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>218 metric tons
TXG920214,Cal Tex Feed Yard,CATTLE (BEEF) - 40000,32.5165,-100.09083,FALSE,40000,0,40000,Other,2560,80,2640,"<b>Name: </b>Cal Tex Feed Yard</br><b>Type: </b>Other</br><b>Methane emissions: </b>2,640 metric tons"
TXG920216,Fox Dairy,10000 TOTAL DAIRY CATTLE OF WHICH 5000 ARE MILKING DAIRY CATTLE,34.180833,-101.87805,FALSE,10000,5000,5000,Dairy,1010,325,1335,"<b>Name: </b>Fox Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,335 metric tons"
TXG920222,Barrett Crofoot East,CATTLE (BEEF) - 100000,34.766666,-102.5,FALSE,100000,0,100000,Other,6400,200,6600,"<b>Name: </b>Barrett Crofoot East</br><b>Type: </b>Other</br><b>Methane emissions: </b>6,600 metric tons"
TXG920223,J & S Dairies,4400 TOTAL DAIRY CATTLE OF WHICH 2200 ARE MILKING DAIRY CATTLE,34.252777,-102.81944,FALSE,4400,2200,2200,Dairy,444.4,143,587,<b>Name: </b>J & S Dairies</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>587 metric tons
TXG920229,Howell Cattle,CATTLE (BEEF) - 17000,27.353333,-98.221388,FALSE,17000,0,17000,Other,1088,34,1122,"<b>Name: </b>Howell Cattle</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,122 metric tons"
TXG920235,Champion Feeders,CATTLE (BEEF) - 52000,34.813888,-102.34583,FALSE,52000,0,52000,Other,3328,104,3432,"<b>Name: </b>Champion Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>3,432 metric tons"
TXG920237,Holy Cow Dairy,699 TOTAL DAIRY CATTLE OF WHICH 500 ARE MILKING DAIRY CATTLE,31.779444,-98.428333,FALSE,699,500,199,Dairy,81.736,37.398,119,<b>Name: </b>Holy Cow Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>119 metric tons
TXG920243,Hefley Feeders,CATTLE (BEEF) - 20000,35.663888,-100.45072,FALSE,20000,0,20000,Other,1280,40,1320,"<b>Name: </b>Hefley Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,320 metric tons"
TXG920253,Northside Farms,31000 TOTAL DAIRY CATTLE OF WHICH 6500 ARE MILKING DAIRY CATTLE,35.943611,-102.26888,FALSE,31000,6500,24500,Dairy,2465,401.5,2866,"<b>Name: </b>Northside Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>2,866 metric tons"
TXG920259,Santa Fe Feeders,CATTLE (BEEF) - 12000,26.8125,-98.111111,FALSE,12000,0,12000,Other,768,24,792,<b>Name: </b>Santa Fe Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>792 metric tons
TXG920267,Bosma Dairy,2960 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,31.981166,-98.883333,FALSE,2960,1200,1760,Dairy,278.24,81.52,360,<b>Name: </b>Bosma Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>360 metric tons
TXG920268,Van Dieden Dairy,1165 TOTAL DAIRY CATTLE OF WHICH 1165 ARE MILKING DAIRY CATTLE,33.066666,-95.3,FALSE,1165,1165,0,Dairy,160.77,86.21,247,<b>Name: </b>Van Dieden Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>247 metric tons
TXG920274,Beukeboom Dairy,1865 TOTAL DAIRY CATTLE OF WHICH 1865 ARE MILKING DAIRY CATTLE,32.048055,-98.358055,FALSE,1865,1865,0,Dairy,257.37,138.01,395,<b>Name: </b>Beukeboom Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>395 metric tons
TXG920279,Carrizo Cattle Feedlot,CATTLE (BEEF) - 18268,28.569166,-99.746111,FALSE,18268,0,18268,Other,1169.152,36.536,1206,"<b>Name: </b>Carrizo Cattle Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,206 metric tons"
TXG920281,Chaparral Feeders,CATTLE (BEEF) - 10000,29.1275,-99.669166,FALSE,10000,0,10000,Other,640,20,660,<b>Name: </b>Chaparral Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>660 metric tons
TXG920284,Diamond Cattle Feeders,CATTLE (BEEF) - 20000,34.746111,-102.40166,FALSE,20000,0,20000,Other,1280,40,1320,"<b>Name: </b>Diamond Cattle Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,320 metric tons"
TXG920287,Lipan Cattle Feeders,CATTLE (BEEF) - 26000,31.491666,-100.28166,FALSE,26000,0,26000,Other,1664,52,1716,"<b>Name: </b>Lipan Cattle Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,716 metric tons"
TXG920291,Newtex Feedyard,CATTLE (BEEF) - 45000,34.533764,-102.704308,FALSE,45000,0,45000,Other,2880,90,2970,"<b>Name: </b>Newtex Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>2,970 metric tons"
TXG920292,Perry Feeders,CATTLE (BEEF) - 6000,29.008888,-98.434166,FALSE,6000,0,6000,Other,384,12,396,<b>Name: </b>Perry Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>396 metric tons
TXG920294,Shearrer Feedlot,CATTLE (BEEF) - 2500,29.040277,-98.503611,FALSE,2500,0,2500,Other,160,5,165,<b>Name: </b>Shearrer Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>165 metric tons
TXG920295,Brand Dairy,3200 TOTAL DAIRY CATTLE OF WHICH 2700 ARE MILKING DAIRY CATTLE,31.766666,-98.366666,FALSE,3200,2700,500,Dairy,404.6,200.8,605,<b>Name: </b>Brand Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>605 metric tons
TXG920297,Indian Ridge Dairy,4800 TOTAL DAIRY CATTLE OF WHICH 4800 ARE MILKING DAIRY CATTLE,31.858611,-98.605,FALSE,4800,4800,0,Dairy,662.4,355.2,1018,"<b>Name: </b>Indian Ridge Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,018 metric tons"
TXG920299,Dublin Dutch Dairy,5200 TOTAL DAIRY CATTLE OF WHICH 3100 ARE MILKING DAIRY CATTLE,31.9725,-98.303055,FALSE,5200,3100,2100,Dairy,562.2,233.6,796,<b>Name: </b>Dublin Dutch Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>796 metric tons
TXG920307,Potter Feedlot,CATTLE (BEEF) - 7500,36.191111,-102.71944,FALSE,7500,0,7500,Other,480,7.5,488,<b>Name: </b>Potter Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>488 metric tons
TXG920308,Texas Beef Producers Feedyard,CATTLE (BEEF) - 82500,35.935833,-101.803055,FALSE,82500,0,82500,Other,5280,82.5,5362,"<b>Name: </b>Texas Beef Producers Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,362 metric tons"
TXG920309,TJ Dairy,8800 TOTAL DAIRY CATTLE OF WHICH 3600 ARE MILKING DAIRY CATTLE,33.992222,-102.42305,FALSE,8800,3600,5200,Dairy,829.6,276.8,1106,"<b>Name: </b>TJ Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,106 metric tons"
TXG920314,White River Ranch,15300 TOTAL DAIRY CATTLE OF WHICH 7000 ARE MILKING DAIRY CATTLE,34.3625,-102.22055,FALSE,15300,7000,8300,Dairy,1497.2,457.6,1955,"<b>Name: </b>White River Ranch</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,955 metric tons"
TXG920319,Mark Cates,CATTLE (BEEF) - 15700,36.4525,-100.22166,FALSE,15700,0,15700,Other,1004.8,15.7,1020,"<b>Name: </b>Mark Cates</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,020 metric tons"
TXG920330,Bar G Feedyard,CATTLE (BEEF) - 100000,34.721111,-102.51194,FALSE,100000,0,100000,Other,6400,200,6600,"<b>Name: </b>Bar G Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>6,600 metric tons"
TXG920331,Bar G 2 Feedyard,CATTLE (BEEF) - 60000,34.707777,-102.49333,FALSE,60000,0,60000,Other,3840,120,3960,"<b>Name: </b>Bar G 2 Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>3,960 metric tons"
TXG920333,Bezner Beef,CATTLE (BEEF) - 39980,36.162269,-102.872025,FALSE,39980,0,39980,Other,2558.72,39.98,2599,"<b>Name: </b>Bezner Beef</br><b>Type: </b>Other</br><b>Methane emissions: </b>2,599 metric tons"
TXG920334,Gene Bradley Feedyard,CATTLE (BEEF) - 12000,34.462777,-102.40777,FALSE,12000,0,12000,Other,768,24,792,<b>Name: </b>Gene Bradley Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>792 metric tons
TXG920337,Circle Three Feedyard,CATTLE (BEEF) - 30000,34.741944,-102.46055,FALSE,30000,0,30000,Other,1920,60,1980,"<b>Name: </b>Circle Three Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,980 metric tons"
TXG920338,Rogers And Sons,CATTLE (BEEF) - 33000,34.461944,-102.407777,FALSE,33000,0,33000,Other,2112,66,2178,"<b>Name: </b>Rogers And Sons</br><b>Type: </b>Other</br><b>Methane emissions: </b>2,178 metric tons"
TXG920341,Dettles Coldwater Creek Cattle,CATTLE (BEEF) - 20000,36.317777,-102.12666,FALSE,20000,0,20000,Other,1280,20,1300,"<b>Name: </b>Dettles Coldwater Creek Cattle</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,300 metric tons"
TXG920342,MC6 Cattle Feeders,CATTLE (BEEF) - 82500,35.025277,-102.37361,FALSE,82500,0,82500,Other,5280,165,5445,"<b>Name: </b>MC6 Cattle Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,445 metric tons"
TXG920344,Kenneth Christie Feedlot,CATTLE (BEEF) - 10000,34.702,-102.524,FALSE,10000,0,10000,Other,640,20,660,<b>Name: </b>Kenneth Christie Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>660 metric tons
TXG920346,Pringle Dairy,7560 TOTAL DAIRY CATTLE OF WHICH 3360 ARE MILKING DAIRY CATTLE,35.948333,-101.48944,FALSE,7560,3360,4200,Dairy,732.48,226.8,959,<b>Name: </b>Pringle Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>959 metric tons
TXG920352,XCL Cattle Feeders,CATTLE (BEEF) - 6500,34.822777,-102.51527,FALSE,6500,0,6500,Other,416,13,429,<b>Name: </b>XCL Cattle Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>429 metric tons
TXG920353,Youngblood Feedyard,CATTLE (BEEF) - 3000,35.478333,-100.80333,FALSE,3000,0,3000,Other,192,6,198,<b>Name: </b>Youngblood Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>198 metric tons
TXG920355,Freeman Feedlot,CATTLE (BEEF) - 35000,36.46,-101.63,FALSE,35000,0,35000,Other,2240,35,2275,"<b>Name: </b>Freeman Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>2,275 metric tons"
TXG920357,Mission Dairy,26000 TOTAL DAIRY CATTLE OF WHICH 14000 ARE MILKING DAIRY CATTLE,35.048611,-102.375,FALSE,26000,14000,12000,Dairy,2700,906,3606,"<b>Name: </b>Mission Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>3,606 metric tons"
TXG920360,Kirkland Feedyard,CATTLE (BEEF) - 30000,35.275,-102.43055,FALSE,30000,0,30000,Other,1920,60,1980,"<b>Name: </b>Kirkland Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,980 metric tons"
TXG920374,Legacy Farms,17300 TOTAL DAIRY CATTLE OF WHICH 7000 ARE MILKING DAIRY CATTLE,34.159722,-101.635,FALSE,17300,7000,10300,Dairy,1625.2,461.6,2087,"<b>Name: </b>Legacy Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>2,087 metric tons"
TXG920378,Brown Cattle Feeders,CATTLE (BEEF) - 8500,34.958653,-102.937614,FALSE,8500,0,8500,Other,544,17,561,<b>Name: </b>Brown Cattle Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>561 metric tons
TXG920382,MGM Cattle Feedlot,CATTLE (BEEF) - 5000,29.645833,-97.791666,FALSE,5000,0,5000,Other,320,10,330,<b>Name: </b>MGM Cattle Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>330 metric tons
TXG920395,Texana Feeders,CATTLE (BEEF) - 15000,29.227777,-98.1075,FALSE,15000,0,15000,Other,960,30,990,<b>Name: </b>Texana Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>990 metric tons
TXG920404,Starr Feedyards,CATTLE (BEEF) - 20000,26.542777,-98.604722,FALSE,20000,0,20000,Other,1280,40,1320,"<b>Name: </b>Starr Feedyards</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,320 metric tons"
TXG920426,Double S Dairies,16000 TOTAL DAIRY CATTLE OF WHICH 6000 ARE MILKING DAIRY CATTLE,35.928055,-102.33527,FALSE,16000,6000,10000,Dairy,1468,340,1808,"<b>Name: </b>Double S Dairies</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,808 metric tons"
TXG920440,Hansford County Feeders,CATTLE (BEEF) - 90000,36.286944,-101.29194,FALSE,90000,0,90000,Other,5760,90,5850,"<b>Name: </b>Hansford County Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,850 metric tons"
TXG920604,Hartley Feeders,CATTLE (BEEF) - 78000,35.849444,-102.46166,FALSE,78000,0,78000,Other,4992,78,5070,"<b>Name: </b>Hartley Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,070 metric tons"
TXG920605,XIT Feeders,CATTLE (BEEF) - 80000,35.986666,-102.62055,FALSE,80000,0,80000,Other,5120,80,5200,"<b>Name: </b>XIT Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,200 metric tons"
TXG920606,Coronado Feeders,CATTLE (BEEF) - 80000,36.091666,-102.3,FALSE,80000,0,80000,Other,5120,80,5200,"<b>Name: </b>Coronado Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,200 metric tons"
TXG920609,King Ranch,CATTLE (BEEF) - 20000,27.5,-97.973611,FALSE,20000,0,20000,Other,1280,40,1320,"<b>Name: </b>King Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,320 metric tons"
TXG920610,Driskill Feed Yard,CATTLE (BEEF) - 5000,29.352777,-99.494444,FALSE,5000,0,5000,Other,320,10,330,<b>Name: </b>Driskill Feed Yard</br><b>Type: </b>Other</br><b>Methane emissions: </b>330 metric tons
TXG920611,Rio Beef Feedyard,CATTLE (BEEF) - 20000,26.543333,-97.985555,FALSE,20000,0,20000,Other,1280,40,1320,"<b>Name: </b>Rio Beef Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,320 metric tons"
TXG920612,Live Oak Feedlot,CATTLE (BEEF) - 8000,28.931666,-99.499444,FALSE,8000,0,8000,Other,512,16,528,<b>Name: </b>Live Oak Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>528 metric tons
TXG920616,Texas Tech New Deal Research Farm,CATTLE (BEEF) - 2000,33.729722,-101.73277,FALSE,2000,0,2000,Other,128,4,132,<b>Name: </b>Texas Tech New Deal Research Farm</br><b>Type: </b>Other</br><b>Methane emissions: </b>132 metric tons
TXG920618,Heartland Livestock,CATTLE (BEEF) - 7500,34.533888,-102.38527,FALSE,7500,0,7500,Other,480,15,495,<b>Name: </b>Heartland Livestock</br><b>Type: </b>Other</br><b>Methane emissions: </b>495 metric tons
TXG920625,MX7 Dairy,8000 TOTAL DAIRY CATTLE OF WHICH 5000 ARE MILKING DAIRY CATTLE,31.93,-98.66,FALSE,8000,5000,3000,Dairy,882,376,1258,"<b>Name: </b>MX7 Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,258 metric tons"
