facility_name,facility_address,project_id_number,reporting_cycle_name,agency_name,program_name,program_description,sub_program_name,record_type,project_name,project_type,project_description,census_tract,project_address,senate_district,assembly_district,project_county,total_project_cost,total_program_ggrf_funding,project_life_years,total_project_ghg_reductions,date_operational,project_completion_date,funding_recipient,annual_project_ghg_reductions
Western Sky Dairy,"18501 Old River Road, Bakersfield, CA 93311",18-0353-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Western Sky Dairy Biogas,new dairy digester,"Western Sky Dairy, a dairy operation located in Bakersfield, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor will deliver biogas via a biogas gathering line to a centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the gas pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"18000 Old River Rd, Bakersfield, CA 93311",12,32,Kern,5722951,2820762,10,352595,2020-09-30,2020-09-30,-,35259.5
Double Diamond Dairy,"505 East Washington Road, El Nido, CA 95317",19-0823-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Double Diamond Dairy Digester Pipeline Project,New Dairy Digester,"Double Diamond Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Merced County, California. The project is a part of the Merced Pipeline cluster, developed by Maas Energy Works. This cluster was selected as an SB-1383 CPUC Pilot Project. The digester will be 100% owned by the host dairy Double Diamond, and developed and operated by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipe to the cluster's hub near Vander Woude Dairy. Once there, the biogas will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be conditioned and injected into the PG&E utility pipeline for delivery to contracted CNG fueling stations around the Central Valley and the state. The model is similar to the Project Team's and DDRDP's successful Calgren Dairy Fuels cluster, currently in operation and producing pipeline-injected CNG.",,"505 E Washington Rd, El Nido, CA 95317",14,27,Merced,4075532,2037766,10,290633,2021-11-30,2021-11-30,-,29063.3
West-Star North Dairy,"26953 Riverside Street, Buttonwillow, CA 93313",DDD15005,2015,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,The West Star North Dairy Biogas Project,New dairy digester facility,The West-Star North Dairy digester is a covered lagoon digester project. This project will capture biogas from two covered lagoons at the dairy.  Biogas from the digester will produce 7.6 million kWh renewable electricity per year.,,"26953 Riverside Street, Buttonwillow, CA 93206",16,35,Kern,9e+06,1837005,10,158730,2017-06-30,2017-06-30,-,15873
Riverbend Dairy,"20799 Road 132, Tulare, CA 93274",18-0350-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Riverbend Dairy Biogas,new dairy digester,"Riverbend Dairy, a dairy operation located in Tulare, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor will deliver biogas via a biogas gathering line to a centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the gas pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"20799 Road 132, Tulare, CA 93274",16,33,Tulare,4822385,2090404,10,245930,2020-09-30,2020-09-30,-,24593
Open Sky Dairy,"12103 West Elkhorn Avenue, Riverdale, CA 93656",DDD15003,2015,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Open Sky Ranch Dairy Digester,Restoration of a defunct dairy digester,"The Open Sky Ranch Dairy Digester project will recommission a covered, double lined lagoon digester at Open Sky Ranch. The biogas from the digester will be used to produce approx. 6.4 million kWh of renewable electricity per year.",,"12103 West Elkhorn Ave, Riverdale CA 93656",14,27,Fresno,1946864,973430,10,258911,2017-06-30,2017-06-30,-,25891.1
John Vander Poel Dairy (Pixley),"8001 Road 104, Pixley, CA 93256",18-0371-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Vander Poel Dairy Digester Pipeline Project,new dairy digester,"Vander Poel Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Tulare County, California. The project is a part of the Calgren Dairy Fuels Cluster, developed by Maas Energy Works. The Calgren Dairy Fuels Cluster has already laid four miles of pipeline and begun construction of three digesters awarded CDFA funds in late 2017--scheduled to provide the state's first pipeline diary biogas fuel by June of 2018. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near the Calgren ethanol refinery. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"8001 Rd 104, Pixley, CA 93256",16,33,Tulare,3944970,1972485,10,290060,2019-11-01,2019-11-01,-,29006
T & W Farms Dairy,"18346 Old River Road, Bakersfield, CA 93311",17-0493-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,T & W Dairy Biogas,new dairy digester,"T & W Farms dairy in Bakersfield, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications.  A gas compressor lifts the gas pressure to Socal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"18000 Old River Road, Bakersfield , CA 93311",12,32,Kern,7295759,2600000,10,294982,2020-03-31,2020-03-31,-,29498.2
Maya Dairy,"18451 Wildwood Road, Buttonwillow, CA 93206",19-0853-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Maya Dairy Biogas,New Dairy Digester,"Maya Dairy is part of the Buttonwillow dairy biogas to fuel cluster in Kern County, CA.  The dairy will install a Tier 1 designed manure only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connected to the centralized biogas upgrading facility and interconnection located nearby.   Biomethane, meeting SoCalGas Rule 30, will be injected into the co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"18451 Wildwood Rd, Buttonwillow, CA 93206",16,35,Kern,8969975,2015393,10,250090,2021-11-30,2021-11-30,-,25009
K & M Visser Dairy,"9279 Avenue 96, Pixley, CA 93256",17-0496-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,K&M Visser Dairy Digester Fuel Pipeline Project,new dairy digester,"The K&M Visser Dairy Digester Fuel Pipeline Project is a covered lagoon anaerobic digester processing manure in Tulare County. The project is owned by Calgren Dairy Fuels, which will construct it at no cost to the dairy and will make guaranteed payments to the dairy. The project is part of the Calgren Dairy Fuels Cluster. The methane-rich biogas from the digester will be supplied via private pipeline to fuel two 5MW gas turbines that power the Calgren ethanol refinery—creating low carbon transportation fuels.  The project will offset existing natural gas use and will result in a net decrease in NOx and criteria pollutants. The cluster will install a RCNG station and later connect to the utility pipeline to supply more RCNG stations.",,"9279 Avenue 96 Pixley, CA 93256",16,33,Tulare,3293975,1500000,10,205553,2019-06-30,2019-06-30,-,20555.3
Goyenetche Dairy LLC,"6041 Brandt Road, Buttonwillow, CA 93206",19-0842-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Albert Goyenetche Dairy Biogas,New Dairy Digester,"Albert Goyenetche Dairy is part of the Buttonwillow dairy biogas to fuel cluster in Kern County, CA.  The dairy will install a Tier 1 designed manure only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connected to the centralized biogas upgrading facility and interconnection located nearby.   Biomethane, meeting SoCalGas Rule 30, will be injected into the co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"6041 Brandt Rd, Buttonwillow, CA 93206",12,35,Kern,8602883,1609316,10,199706,2021-11-30,2021-11-30,-,19970.6
Trilogy Dairy,"17661 Bear Mountain Boulevard, Bakersfield, CA 93313",17-0491-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Trilogy Dairy Biogas,new dairy digester,"Trilogy Dairy in Bakersfield, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution. Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications.  A gas compressor lifts the gas pressure to Socal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"17661 Bear Mountain Blvd, Bakersfield, CA 93311",12,32,Kern,6450840,2250000,10,254577,2020-03-31,2020-03-31,-,25457.7
Lone Oak Farms Dairy #1,"13866 4th Avenue, Hanford, CA 93230",18-0373-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Lone Oak #1 Dairy Digester Pipeline Project,new dairy digester,"Lone Oak #1 Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in King's County, California. The project is 100% farmer owned by the host dairy family members of the 2000 TeVelde Trust. The project is a part of the Hanford-Lakeside Pipeline cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub at River Ranch. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the around the Central Valley and the state.",,"13866 4th Ave, Hanford, CA 93230",16,33,Kings,3738538,1869269,10,247703,2020-02-01,2020-02-01,-,24770.3
Hillcrest Dairy,"1901 North Hayden Road, Le Grand, CA 95322",19-0927-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Hillcrest Dairy LP,Solid Separation with Open Solar Drying,Installation of a double vibrating screen ValMetal US Farms Systems mechanical separator with double screw press. This is an addition to our current separation system which consists of one mechanical separator capturing the solids flushed in the waste stream in our lactating cow free stall housing. Currently our heifer and dry cow housing lanes flush but are directed to a separate storage pond system. These lanes are not conveyed through our current separation system. We propose to purchase a 180 HP tractor along with a Nuhn Alley Vac to end flushing in our heifer/dry cow housing and scrape/vacuum the solids produced in those lanes. Those solids will then be transported to the proposed manure stacking pad for open solar drying. This will allow 100% of the solids captured in our support stock housing from entering the storage pond system.,,"1901 N Hayden Rd, Le Grand, CA 95333",14,27,Merced,882638,750000,5,11748,2020-09-30,2020-09-30,-,2349.6
Manuel Godinho Dairy,"12710 South Wilson Road, Los Banos, CA 93635",18-0481-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Godinho Dairy LP,Flush-to-Scrape and Compost Bedded Pack Barn,"The construction of a compost bedded pack barn will lead to a decrease in the amount of manure flushed into our anaerobic lagoon and therefore a decrease in GHG emissions. This manure management project will reduce our carbon footprint and increase cow comfort. Daily in-place mixing using a rototiller will increase temperatures and decrease moisture, therefore decreasing the number of pathogenic bacteria. Thus, leading to better cow health and less GHG emissions.",,"12710 Wilson Rd, Los Banos, CA 93635",14,27,Merced,736333,736333,5,2733,2019-08-31,2019-08-31,-,546.6
